"time","depth","temperature","salinity"
277,36.214,4.17189724901919,31.4126
278,36.403,4.16100247913627,31.4119
279,36.639,4.15890348677351,31.4092
280,37.017,4.16470070377543,31.4118
281,37.159,4.13721389902495,31.4058
282,37.396,3.97379235078119,31.4523
283,37.443,3.67673495544145,31.4412
284,37.679,3.5543936862975,31.4316
285,37.868,3.42105769525335,31.4133
286,38.152,3.40386594828215,31.408
287,38.436,3.42455601585796,31.4087
288,38.719,3.37188130275431,31.407
289,38.909,3.36598413373512,31.4045
290,39.145,3.38127679237811,31.4023
291,39.239,3.3793777040499,31.4014
292,39.57,3.37228111082341,31.3992
293,39.665,3.37308072696161,31.399
294,40.138,3.36738346197696,31.3967
295,40.327,3.36758336601151,31.3974
296,40.516,3.37557952739347,31.395
297,40.611,3.35558912393858,31.3988
298,40.942,3.2650325962879,31.3991
299,41.131,3.20666061819961,31.3952
300,41.414,3.19936412093858,31.3967
301,41.745,3.14618964774856,31.4104
302,41.934,3.09211560640307,31.3981
303,42.124,3.10321028032053,31.4212
304,42.407,3.06272971332437,31.4062
305,42.596,3.01815111361996,31.3938
306,42.927,3.00065951059693,31.3935
307,43.164,2.97027409734549,31.3886
308,43.447,2.93529089129942,31.3868
309,43.542,2.91759938424184,31.3955
310,43.778,2.91799919231094,31.3928
